"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"1106","United States","Male",22,"Employed full-time","Other","Bachelor's degree","Computer Science",65000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","4",4
"1107","Switzerland","Male",29,"Employed full-time","Academic","Doctoral degree","Physics",89000,"CHF","Other","Poorly","Python","Sort of (Explain more)","10-25% of projects","7",7
"1108","United States","Male",32,"Employed full-time","Retail","Doctoral degree","Electrical Engineering",112000,"USD","Scientist/Researcher","Fine","Python","Yes","76-99% of projects","9",9
"1109","United Kingdom","Male",45,"Employed full-time","Other","Master's degree","Electrical Engineering",150000,"GBP","Business Analyst","Poorly","Python","No","51-75% of projects","4",4
"1110","United States","Male",44,"Employed full-time","Insurance","Master's degree","A social science",350000,"USD","Other","Fine","R","Sort of (Explain more)","51-75% of projects","9",9
"1111","United States","Male",31,"Employed full-time","Academic","Master's degree","Electrical Engineering",70000,"USD","Researcher","Fine","Python","Yes","51-75% of projects","8",8
"1112","United States","Male",33,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",75000,"USD","Statistician","Perfectly","R","Yes","10-25% of projects","8",8
"1113","United Kingdom","Female",55,"Employed full-time","Financial","Doctoral degree","Engineering (non-computer focused)",150000,"GBP","Scientist/Researcher","Fine","R","Sort of (Explain more)","51-75% of projects","9",9
"1114","Russia","Male",46,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",4e+05,"RUB","Scientist/Researcher","Fine","R","No","10-25% of projects","4",4
"1115","Canada","Male",41,"Employed full-time","Government","Master's degree","Physics",120000,"CAD","Operations Research Practitioner","Perfectly","Python","Yes","100% of projects","4",4
"1116","United Kingdom","Male",45,"Employed full-time","Academic","Doctoral degree","Other",50000,"GBP","Computer Scientist","Fine","Python","Sort of (Explain more)","10-25% of projects","8",8
"1117","France","Male",40,"Employed full-time","Technology","Doctoral degree","Computer Science",55000,"EUR","Data Analyst","Fine","Java","Sort of (Explain more)","76-99% of projects","10 - Highly Satisfied",10
"1118","United Kingdom","Male",47,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Mathematics or statistics",125000,"GBP","Predictive Modeler","Fine","Python","Yes","Less than 10% of projects","6",6
"1119","Sweden","Male",42,"Employed full-time","Mix of fields","Doctoral degree","Physics",5e+05,"SEK","Other","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"1120","India","Male",36,"Employed full-time","Financial","Bachelor's degree","Engineering (non-computer focused)",3e+06,"INR","Other","Fine","Python","No","26-50% of projects","3",3
"1121","Canada","Male",24,"Employed full-time","CRM/Marketing","Bachelor's degree","A social science",55000,"CAD","Data Analyst","Fine","R","Sort of (Explain more)","100% of projects","8",8
"1122","United Kingdom","Male",32,"Employed full-time","Government","Master's degree","Physics",35000,"GBP","Scientist/Researcher","Fine","Python","Yes","26-50% of projects","6",6
"1123","Brazil","Male",25,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Engineering (non-computer focused)",18000,"BRL","Machine Learning Engineer","Fine","Python","Yes","76-99% of projects","8",8
"1124","United States","Male",31,"Employed full-time","Academic","Doctoral degree","A social science",180000,"USD","Scientist/Researcher","Fine","R","Sort of (Explain more)","100% of projects","9",9
"1125","United States","Male",25,"Employed full-time","Technology","Bachelor's degree","Mathematics or statistics",95000,"USD","Data Analyst","Fine","Python","No","51-75% of projects","3",3
"1126","Other","Male",49,"Employed full-time","Government","Master's degree","Mathematics or statistics",12900,"USD","Statistician","Perfectly","SQL","Sort of (Explain more)","76-99% of projects","4",4
"1127","United States","Male",43,"Employed full-time","Financial","Master's degree","Management information systems",160000,"USD","DBA/Database Engineer","Poorly","Python","Sort of (Explain more)","100% of projects","8",8
"1128","United States","Male",33,"Employed full-time","Academic","Doctoral degree","Computer Science",105000,"USD","Scientist/Researcher","Perfectly","R","Yes","100% of projects","9",9
"1129","United States","Male",58,"Employed full-time","Academic","Doctoral degree","Computer Science",102000,"USD","Computer Scientist","Fine","Python","Yes","76-99% of projects","6",6
"1130","United States","Male",1,"Employed full-time","Manufacturing","Master's degree","Other",1e+05,"USD","Scientist/Researcher","Fine","Other","Yes","10-25% of projects","4",4
"1131","United States","Female",23,"Employed full-time","Academic","Bachelor's degree","Engineering (non-computer focused)",37000,"USD","Scientist/Researcher","Fine","Python","No","51-75% of projects","8",8
"1132","United States","Male",40,"Employed full-time","Technology","Bachelor's degree","Management information systems",175000,"USD","Software Developer/Software Engineer","Fine","Scala","No","51-75% of projects","10 - Highly Satisfied",10
"1133","Denmark","Male",56,"Employed full-time","Pharmaceutical","Doctoral degree","Biology",650000,"DKK","Business Analyst","Fine","Python","Yes","51-75% of projects","7",7
"1134","Sweden","Male",46,"Independent contractor, freelancer, or self-employed","Telecommunications","Master's degree","Physics",1e+05,"USD","Machine Learning Engineer","Fine","Python","No","10-25% of projects","10 - Highly Satisfied",10
"1135","United States","Male",44,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",125000,"USD","Software Developer/Software Engineer","Poorly","Python","No","51-75% of projects","6",6
"1136","Canada","Male",40,"Employed full-time","Other","Master's degree","Computer Science",90000,"CAD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","6",6
"1137","United Kingdom","Male",28,"Employed full-time","Internet-based","Doctoral degree","Computer Science",85000,"GBP","Software Developer/Software Engineer","Poorly","Python","Yes","26-50% of projects","7",7
"1138","Poland","Male",36,"Employed full-time","CRM/Marketing","Master's degree","Mathematics or statistics",70000,"PLN","Data Analyst","Fine","R","Yes","Less than 10% of projects","7",7
"1139","Other","Male",24,"Employed full-time","Insurance","Some college/university study without earning a bachelor's degree","Mathematics or statistics",13818,"USD","Data Analyst","Fine","R","No","10-25% of projects","4",4
"1140","United States","Male",46,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",75000,"USD","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"1141","Brazil","Female",28,"Employed full-time","Academic","Doctoral degree","Computer Science",48000,"BRL","Computer Scientist","Fine","Python","Yes","51-75% of projects","7",7
"1142","United States","Female",53,"Employed part-time","Technology","Bachelor's degree","Engineering (non-computer focused)",80000,"USD","Other","Poorly","R","Yes","76-99% of projects","5",5
"1143","United Kingdom","Male",44,"Employed full-time","Pharmaceutical","Master's degree","Mathematics or statistics",43000,"GBP","Statistician","Fine","Python","Yes","51-75% of projects","7",7
"1144","United States","Male",25,"Employed part-time","Academic","Master's degree","Electrical Engineering",85000,"USD","Machine Learning Engineer","Fine","Matlab","No","100% of projects","7",7
"1145","Spain","Male",50,"Employed full-time","Telecommunications","Doctoral degree","Physics",34000,"EUR","Scientist/Researcher","Fine","Scala","Yes","51-75% of projects","8",8
"1146","United States","Male",25,"Employed full-time","Financial","Master's degree","Computer Science",120000,"USD","Scientist/Researcher","Perfectly","Python","Yes","26-50% of projects","9",9
"1147","Japan","Male",40,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Information technology, networking, or system administration",9e+06,"JPY","Scientist/Researcher","Fine","Python","Yes","76-99% of projects","8",8
"1148","United States","Female",30,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","Information technology, networking, or system administration",85000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","100% of projects","5",5
"1149","Canada","Male",26,"Employed full-time","Internet-based","Bachelor's degree","Computer Science",85000,"CAD","Machine Learning Engineer","Fine","Python","No","Less than 10% of projects","6",6
"1150","Canada","Non-binary, genderqueer, or gender non-conforming",38,"Employed full-time","Government","Master's degree","A humanities discipline",58000,"CAD","Other","Perfectly","Python","No","100% of projects","10 - Highly Satisfied",10
"1151","United States","Male",32,"Employed full-time","Academic","Master's degree","Engineering (non-computer focused)",88000,"USD","Statistician","Perfectly","R","Yes","76-99% of projects","9",9
"1152","United States","Male",35,"Employed full-time","Non-profit","Doctoral degree","Biology",55000,"USD","Scientist/Researcher","Perfectly","R","No","26-50% of projects","8",8
"1153","India","Male",39,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",1800000,"INR","Statistician","Fine","R","Yes","Less than 10% of projects","6",6
"1154","Colombia","Female",28,"Independent contractor, freelancer, or self-employed","Government","Bachelor's degree","Management information systems",3.3e+07,"COP","Statistician","Perfectly","Python","No","51-75% of projects","7",7
"1155","People 's Republic of China","Male",28,"Employed full-time","Technology","Bachelor's degree","Information technology, networking, or system administration",5000,"AED","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","7",7
"1156","Canada","Male",32,"Employed full-time","Financial","Master's degree","Computer Science",140000,"CAD","Software Developer/Software Engineer","Poorly","Python","No","10-25% of projects","5",5
"1157","United States","Female",28,"Independent contractor, freelancer, or self-employed","Other","Master's degree","Mathematics or statistics",20000,"USD","Data Analyst","Fine","SQL","No","76-99% of projects","7",7
"1158","United States","Female",42,"Employed full-time","Retail","Master's degree","A social science",94500,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","6",6
"1159","People 's Republic of China","Male",30,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",20000,"USD","Data Analyst","Perfectly","Python","Yes","None","10 - Highly Satisfied",10
"1160","Singapore","Male",52,"Independent contractor, freelancer, or self-employed","Financial","Some college/university study without earning a bachelor's degree","Other",60000,"SGD","Business Analyst","Fine","SQL","Sort of (Explain more)","Less than 10% of projects","5",5
"1161","United States","Male",38,"Employed full-time","Other","Some college/university study without earning a bachelor's degree","Fine arts or performing arts",85000,"USD","Other","Fine","SQL","No","100% of projects","7",7
"1162","United States","Male",25,"Independent contractor, freelancer, or self-employed","Pharmaceutical","Doctoral degree","A social science",3e+05,"USD","Statistician","Perfectly","SAS","No","100% of projects","10 - Highly Satisfied",10
"1163","Australia","Female",57,"Employed full-time","Other","Master's degree","Mathematics or statistics",150000,"AUD","Researcher","Fine","R","No","76-99% of projects","6",6
"1164","United States","Male",34,"Employed full-time","Financial","Master's degree","Engineering (non-computer focused)",1e+05,"USD","Business Analyst","Poorly","SAS","No","10-25% of projects","8",8
"1165","South Korea","Male",45,"Employed full-time","Technology","Master's degree","Electrical Engineering",50000,"KRW","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","6",6
"1166","United States","Male",24,"Employed full-time","Government","Bachelor's degree","Engineering (non-computer focused)",70000,"USD","Business Analyst","Poorly","R","No","26-50% of projects","3",3
"1167","South Korea","Male",47,"Employed full-time","Other","Master's degree","Mathematics or statistics",8e+07,"KRW","Software Developer/Software Engineer","Fine","Python","Yes","76-99% of projects","5",5
"1168","Philippines","Male",23,"Employed full-time","Other","Bachelor's degree","Engineering (non-computer focused)",1950000,"PHP","Business Analyst","Fine","Python","No","76-99% of projects","8",8
"1169","Brazil","Male",30,"Employed full-time","Retail","Master's degree","Computer Science",150000,"BRL","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","8",8
"1170","India","Male",24,"Employed part-time","Technology","Bachelor's degree","Engineering (non-computer focused)",250000,"INR","Data Analyst","Fine","R","No","10-25% of projects","6",6
"1171","Australia","Male",37,"Employed full-time","Government","Master's degree","Physics",75000,"AUD","Other","Poorly","Other","Sort of (Explain more)","100% of projects","7",7
"1172","Brazil","Male",32,"Employed full-time","Technology","Bachelor's degree","Information technology, networking, or system administration",120000,"BRL","DBA/Database Engineer","Perfectly","R","Yes","26-50% of projects","8",8
"1173","Other","Male",29,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Other",150000,"USD","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","76-99% of projects","10 - Highly Satisfied",10
"1174","Mexico","Male",29,"Employed full-time","Financial","Bachelor's degree","Mathematics or statistics",25000,"MXN","Predictive Modeler","Fine","C/C++/C#","Yes","10-25% of projects","8",8
"1175","United States","Male",34,"Employed full-time","Technology","Doctoral degree","Electrical Engineering",149000,"USD","Software Developer/Software Engineer","Fine","Python","No","None","5",5
"1176","United States","Female",26,"Employed full-time","Insurance","Master's degree","Physics",67500,"USD","Data Analyst","Fine","Python","Yes","10-25% of projects","8",8
"1177","Mexico","Male",38,"Employed full-time","CRM/Marketing","Bachelor's degree","Mathematics or statistics",720000,"MXN","Other","Perfectly","R","Yes","76-99% of projects","5",5
"1178","United States","Male",35,"Employed full-time","Military/Security","Master's degree","Computer Science",133000,"USD","Engineer","Fine","Python","Sort of (Explain more)","100% of projects","7",7
"1179","Spain","Male",40,"Employed full-time","Other","Master's degree","Mathematics or statistics",55000,"EUR","Data Miner","Fine","R","Yes","Less than 10% of projects","7",7
"1180","Brazil","Male",26,"Employed full-time","Government","Master's degree","Computer Science",72000,"BRL","Other","Poorly","Python","No","10-25% of projects","7",7
"1181","United States","Male",60,"Independent contractor, freelancer, or self-employed","Military/Security","Doctoral degree","Physics",60000,"USD","Operations Research Practitioner","Fine","Python","Yes","26-50% of projects","7",7
"1182","United States","Male",45,"Independent contractor, freelancer, or self-employed","Pharmaceutical","Master's degree","Computer Science",250000,"USD","Software Developer/Software Engineer","Fine","Python","Yes","100% of projects","8",8
"1183","Malaysia","Male",50,"Independent contractor, freelancer, or self-employed","Manufacturing","Bachelor's degree","Other",150000,"MYR","Data Analyst","Perfectly","R","Yes","51-75% of projects","8",8
"1184","United States","Male",29,"Employed full-time","Technology","Master's degree","A social science",120000,"USD","Engineer","Poorly","Python","Yes","76-99% of projects","5",5
"1185","United States","Female",50,"Employed full-time","Retail","Bachelor's degree","A humanities discipline",1e+05,"USD","DBA/Database Engineer","Fine","Python","No","Less than 10% of projects","3",3
"1186","Brazil","Male",32,"Employed part-time","Internet-based","Master's degree","Computer Science",45000,"BRL","Data Miner","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"1187","Canada","Male",30,"Employed full-time","Pharmaceutical","Doctoral degree","Engineering (non-computer focused)",1e+05,"CAD","Researcher","Fine","Python","Sort of (Explain more)","26-50% of projects","9",9
"1188","Australia","Male",27,"Employed full-time","Academic","Bachelor's degree","Electrical Engineering",86000,"AUD","Data Analyst","Fine","Python","Sort of (Explain more)","26-50% of projects","6",6
"1189","United States","Female",51,"Employed full-time","Academic","Doctoral degree","Management information systems",133000,"USD","Researcher","Fine","R","Yes","100% of projects","9",9
"1190","United States","Male",30,"Employed full-time","Technology","Master's degree","A social science",50000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","10-25% of projects","5",5
"1191","India","Male",38,"Employed full-time","Technology","Master's degree","Computer Science",35,"INR","Computer Scientist","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"1192","Mexico","Male",34,"Independent contractor, freelancer, or self-employed","Technology","Bachelor's degree","Computer Science",91000,"USD","Business Analyst","Fine","Python","No","10-25% of projects","8",8
"1193","Turkey","Female",27,"Employed full-time","Retail","Bachelor's degree","Computer Science",80000,"TRY","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","4",4
"1194","Australia","Male",43,"Employed full-time","Government","Master's degree","Psychology",110,"AUD","Statistician","Fine","R","Yes","51-75% of projects","8",8
"1195","Japan","Male",29,"Employed full-time","Technology","Bachelor's degree","Other",9300000,"JPY","Engineer","Fine","Python","No","76-99% of projects","7",7
"1196","Spain","Male",37,"Employed full-time","Mix of fields","Doctoral degree","Computer Science",36000,"EUR","Researcher","Poorly","Python","No","76-99% of projects","5",5
"1197","India","Male",28,"Employed full-time","Military/Security","Bachelor's degree","Electrical Engineering",8e+05,"INR","Software Developer/Software Engineer","Fine","Python","No","10-25% of projects","4",4
"1198","Netherlands","Male",52,"Employed full-time","Mix of fields","Bachelor's degree","Other",65000,"EUR","Other","Poorly","R","Sort of (Explain more)","51-75% of projects","8",8
"1199","India","Female",28,"Employed full-time","Internet-based","Master's degree","Information technology, networking, or system administration",2e+06,"INR","Other","Perfectly","R","No","76-99% of projects","6",6
"1200","India","Female",35,"Employed full-time","Technology","Master's degree","Mathematics or statistics",1800000,"INR","Predictive Modeler","Perfectly","R","Sort of (Explain more)","26-50% of projects","6",6
"1201","Japan","Male",37,"Employed full-time","Technology","Bachelor's degree","Computer Science",8e+06,"JPY","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","8",8
"1202","Netherlands","Male",36,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Mathematics or statistics",110000,"EUR","Other","Poorly","R","Sort of (Explain more)","76-99% of projects","10 - Highly Satisfied",10
"1203","Sweden","Male",44,"Employed full-time","Government","Doctoral degree","A humanities discipline",7e+05,"SEK","Scientist/Researcher","Perfectly","Python","No","Less than 10% of projects","9",9
"1204","Other","Male",28,"Employed full-time","Insurance","Master's degree","Mathematics or statistics",2.7e+07,"XOF","Statistician","Fine","R","Yes","51-75% of projects","6",6
"1205","Ukraine","Male",21,"Employed part-time","Technology","Bachelor's degree","Mathematics or statistics",12000,"USD","Machine Learning Engineer","Fine","C/C++/C#","Yes","10-25% of projects","5",5
"1206","New Zealand","Male",44,"Independent contractor, freelancer, or self-employed","Government","Doctoral degree","Biology",140000,"NZD","Data Analyst","Poorly","Python","Sort of (Explain more)","100% of projects","7",7
"1207","United Kingdom","Male",50,"Employed full-time","Other","Doctoral degree","Information technology, networking, or system administration",117500,"GBP","Machine Learning Engineer","Poorly","Python","Yes","76-99% of projects","8",8
"1208","United Kingdom","Male",47,"Employed full-time","Technology","Doctoral degree","A health science",50000,"GBP","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","76-99% of projects","5",5
"1209","France","Male",27,"Employed full-time","Manufacturing","Master's degree","Engineering (non-computer focused)",45000,"EUR","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","9",9
"1210","Pakistan","Male",25,"Employed full-time","Academic","Bachelor's degree","Electrical Engineering",40000,"PKR","Machine Learning Engineer","Fine","R","No","10-25% of projects","1 - Highly Dissatisfied",1
"1211","Republic of China","Male",28,"Employed full-time","Financial","Master's degree","Computer Science",3e+05,"CNY","Machine Learning Engineer","Fine","Python","No","10-25% of projects","7",7
"1212","Taiwan","Female",23,"Employed full-time","Financial","Bachelor's degree","A social science",30000,"TWD","Data Analyst","Fine","Python","Yes","100% of projects","1 - Highly Dissatisfied",1
"1213","United Kingdom","Male",35,"Employed full-time","Academic","Doctoral degree","Other",32000,"GBP","Scientist/Researcher","Fine","R","Sort of (Explain more)","100% of projects","8",8
"1214","Belgium","Male",36,"Employed full-time","Retail","Doctoral degree","Physics",30000,"EUR","Business Analyst","Poorly","R","Sort of (Explain more)","Less than 10% of projects","1 - Highly Dissatisfied",1
"1215","Other","Male",27,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","Other",5000,"GBP","Data Miner","Fine","C/C++/C#","No","None","3",3
"1216","France","Male",38,"Employed full-time","Other","Doctoral degree","Engineering (non-computer focused)",80000,"EUR","Engineer","Poorly","Python","No","100% of projects","7",7
"1217","Finland","Female",40,"Employed full-time","Technology","Master's degree","Biology",40000,"EUR","Scientist/Researcher","Fine","Python","Yes","76-99% of projects","7",7
"1218","Australia","Male",24,"Employed full-time","Financial","Bachelor's degree","Engineering (non-computer focused)",98000,"AUD","Business Analyst","Poorly","Python","No","100% of projects","7",7
"1219","Ukraine","Male",31,"Employed full-time","Internet-based","Master's degree","Computer Science",48000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","100% of projects","9",9
"1220","Greece","Female",30,"Employed full-time","Mix of fields","Master's degree","Physics",25000,"EUR","Data Analyst","Fine","R","Yes","76-99% of projects","5",5
"1221","United States","Male",26,"Employed full-time","Other","Bachelor's degree","Electrical Engineering",85000,"USD","Engineer","Poorly","Python","No","51-75% of projects","3",3
"1222","United Kingdom","A different identity",100,"Employed full-time","Other","Doctoral degree","Engineering (non-computer focused)",1e+11,"ILS","Statistician","Fine","R","Yes","10-25% of projects","8",8
"1223","India","Male",37,"Employed full-time","Mix of fields","Master's degree","Mathematics or statistics",1700000,"INR","Other","Perfectly","R","Sort of (Explain more)","26-50% of projects","5",5
"1224","Germany","Male",34,"Employed full-time","Academic","Doctoral degree","Physics",50000,"EUR","Scientist/Researcher","Perfectly","Python","Yes","None","10 - Highly Satisfied",10
"1225","Germany","Male",57,"Employed full-time","Academic","Doctoral degree","Physics",80000,"EUR","Scientist/Researcher","Fine","C/C++/C#","Sort of (Explain more)","100% of projects","7",7
"1226","United States","Female",31,"Employed full-time","Academic","Doctoral degree","A health science",47500,"USD","Scientist/Researcher","Perfectly","SQL","No","100% of projects","1 - Highly Dissatisfied",1
"1227","United States","Male",48,"Employed full-time","Insurance","Master's degree","Computer Science",130000,"USD","Data Analyst","Poorly","R","Sort of (Explain more)","51-75% of projects","1 - Highly Dissatisfied",1
"1228","India","Male",32,"Employed full-time","Technology","Bachelor's degree","Computer Science",2e+06,"INR","Computer Scientist","Fine","Python","Sort of (Explain more)","51-75% of projects","8",8
"1229","Singapore","Male",26,"Employed full-time","Government","Bachelor's degree","Mathematics or statistics",60000,"SGD","Researcher","Poorly","R","No","10-25% of projects","1 - Highly Dissatisfied",1
"1230","Taiwan","Male",45,"Employed full-time","Manufacturing","Master's degree","Electrical Engineering",3e+06,"TWD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","5",5
"1231","Switzerland","Female",57,"Employed full-time","Academic","Doctoral degree","A humanities discipline",1e+05,"CHF","Scientist/Researcher","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"1232","Russia","Male",39,"Employed full-time","Technology","Master's degree","Mathematics or statistics",1700000,"RUB","Software Developer/Software Engineer","Perfectly","Python","No","10-25% of projects","8",8
"1233","United States","Male",60,"Employed full-time","Internet-based","Master's degree","Computer Science",75000,"USD","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","8",8
"1234","Ukraine","Male",21,"Employed full-time","Telecommunications","Bachelor's degree","Mathematics or statistics",360000,"UAH","Data Analyst","Fine","R","Yes","100% of projects","7",7
"1235","United States","Male",31,"Employed full-time","Academic","Doctoral degree","Electrical Engineering",85000,"USD","Researcher","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"1236","United Kingdom","Male",41,"Employed full-time","Government","Bachelor's degree","Psychology",55000,"GBP","Other","Fine","R","No","100% of projects","6",6
"1237","United States","Male",36,"Employed full-time","Insurance","Master's degree","Mathematics or statistics",210000,"USD","Predictive Modeler","Fine","Python","Sort of (Explain more)","Less than 10% of projects","7",7
"1238","Canada","Male",43,"Employed full-time","Internet-based","Bachelor's degree","Other",140000,"CAD","Machine Learning Engineer","Perfectly","Python","Yes","76-99% of projects","9",9
"1239","Other","Male",27,"Employed full-time","Mix of fields","Master's degree","Computer Science",10000,"EUR","Programmer","Poorly","C/C++/C#","No","Less than 10% of projects","1 - Highly Dissatisfied",1
"1240","United States","Female",47,"Employed full-time","Financial","Master's degree","Mathematics or statistics",67500,"USD","Data Miner","Fine","SQL","No","51-75% of projects","7",7
"1241","Spain","Male",26,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Mathematics or statistics",27000,"EUR","Statistician","Poorly","Python","Yes","10-25% of projects","6",6
"1242","United States","Male",33,"Employed full-time","Insurance","Bachelor's degree","Mathematics or statistics",95000,"USD","Other","Perfectly","R","No","100% of projects","7",7
"1243","Russia","Male",33,"Employed full-time","Mix of fields","Master's degree","Computer Science",6e+05,"RUB","Other","Fine","Python","Yes","51-75% of projects","5",5
"1244","India","Male",35,"Employed full-time","Financial","Bachelor's degree","Computer Science",40000,"USD","Business Analyst","Fine","Python","Sort of (Explain more)","76-99% of projects","5",5
"1245","Czech Republic","Male",25,"Employed part-time","Internet-based","Bachelor's degree","A humanities discipline",1e+05,"CZK","Data Miner","Fine","Python","Sort of (Explain more)","76-99% of projects","7",7
"1246","India","Male",36,"Independent contractor, freelancer, or self-employed","Financial","Doctoral degree","Electrical Engineering",4500000,"INR","Statistician","Perfectly","Python","Sort of (Explain more)","76-99% of projects","7",7
"1247","United States","Male",32,"Employed full-time","Financial","Master's degree","Electrical Engineering",85000,"USD","Software Developer/Software Engineer","Perfectly","Java","Yes","Less than 10% of projects","5",5
"1248","United States","Male",41,"Employed full-time","Pharmaceutical","Master's degree","Computer Science",240000,"USD","Other","Fine","Python","No","100% of projects","8",8
"1249","Brazil","Male",22,"Employed part-time","Technology","Bachelor's degree","Computer Science",60000,"BRL","DBA/Database Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","9",9
"1250","Nigeria","Female",26,"Employed full-time","Mix of fields","Master's degree","Mathematics or statistics",135000,"NGN","Data Analyst","Fine","R","Yes","100% of projects","7",7
"1251","Germany","Male",49,"Employed full-time","Financial","Master's degree","Mathematics or statistics",1e+05,"EUR","Data Analyst","Poorly","SQL","Yes","76-99% of projects","7",7
"1252","United States","Male",52,"Employed full-time","Other","Doctoral degree","Electrical Engineering",0,"USD","Other","Fine","SQL","Sort of (Explain more)","100% of projects","5",5
"1253","United States","Female",47,"Employed full-time","Hospitality/Entertainment/Sports","Doctoral degree","Electrical Engineering",175000,"USD","Statistician","Fine","R","Sort of (Explain more)","Less than 10% of projects","10 - Highly Satisfied",10
"1254","Other","Male",23,"Employed full-time","Financial","Bachelor's degree","Computer Science",15000,"EUR","Machine Learning Engineer","Fine","Python","Yes","Less than 10% of projects","6",6
"1255","Other","Male",26,"Employed part-time","Academic","Master's degree","Electrical Engineering",1e+05,"BIF","Engineer","Fine","SQL","Yes","26-50% of projects","4",4
"1256","United States","A different identity",48,"Employed full-time","Mix of fields","Doctoral degree","Computer Science",150000,"USD","Computer Scientist","Fine","Python","Yes","Less than 10% of projects","7",7
"1257","France","Male",49,"Employed full-time","Financial","Doctoral degree","Computer Science",60000,"EUR","Engineer","Fine","Python","Yes","100% of projects","8",8
"1258","United States","Male",26,"Employed full-time","Non-profit","Bachelor's degree","Other",50000,"USD","Data Analyst","Perfectly","Python","Yes","51-75% of projects","5",5
"1259","Poland","Male",56,"Employed full-time","Academic","Master's degree","Physics",60000,"PLN","Programmer","Perfectly","R","No","10-25% of projects","10 - Highly Satisfied",10
"1260","United States","Male",34,"Employed full-time","Technology","Doctoral degree","Physics",195000,"USD","Other","Fine","Python","Yes","76-99% of projects","10 - Highly Satisfied",10
"1261","United States","Female",41,"Employed full-time","Other","Doctoral degree","Other",140000,"USD","Other","Poorly","Python","Yes","100% of projects","8",8
"1262","Spain","Male",47,"Employed full-time","Other","Master's degree","Computer Science",1e+05,"EUR","Other","Fine","R","Sort of (Explain more)","Less than 10% of projects","10 - Highly Satisfied",10
"1263","Other","Male",52,"Employed full-time","Manufacturing","Master's degree","Computer Science",36000,"USD","Operations Research Practitioner","Fine","R","No","None","7",7
"1264","Italy","Male",33,"Employed full-time","Other","Bachelor's degree","A humanities discipline",30000,"EUR","Other","Poorly","R","No","26-50% of projects","5",5
"1265","United States","Female",33,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",55900,"USD","Scientist/Researcher","Fine","Python","No","76-99% of projects","9",9
"1266","United States","Male",40,"Employed full-time","Non-profit","Bachelor's degree","Computer Science",103000,"USD","Engineer","Fine","SQL","Yes","76-99% of projects","8",8
"1267","United Kingdom","Male",30,"Employed full-time","Academic","Doctoral degree","Other",42000,"GBP","Scientist/Researcher","Fine","Python","Yes","76-99% of projects","1 - Highly Dissatisfied",1
"1268","Russia","Male",21,"Employed full-time","Mix of fields","Some college/university study without earning a bachelor's degree","Physics",40000,"RUB","Predictive Modeler","Poorly","Python","No","100% of projects","8",8
"1269","United States","Male",25,"Employed full-time","Technology","Master's degree","Computer Science",82500,"USD","Data Analyst","Poorly","Python","Sort of (Explain more)","26-50% of projects","6",6
