Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction
Italy,Male,48,Employed full-time,Mix of fields,Master's degree,Physics,60000,EUR,DBA/Database Engineer,Poorly,Python,Sort of (Explain more),76-99% of projects,4
Philippines,Female,37,Employed full-time,Academic,Doctoral degree,Electrical Engineering,1000000,PHP,Engineer,Fine,Matlab,Yes,51-75% of projects,8
Sweden,Male,41,Employed full-time,Technology,Master's degree,Computer Science,103000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,76-99% of projects,7
Egypt,Male,32,Employed full-time,Technology,Master's degree,Electrical Engineering,156000,EGP,Software Developer/Software Engineer,Fine,Python,Yes,76-99% of projects,5
United Kingdom,Male,28,Employed full-time,Other,Doctoral degree,Physics,38000,GBP,Machine Learning Engineer,Perfectly,Python,Yes,Less than 10% of projects,9
Denmark,Male,34,Employed full-time,Technology,Doctoral degree,Physics,400000,DKK,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,9
Norway,"Non-binary, genderqueer, or gender non-conforming",33,Employed full-time,Technology,Doctoral degree,Computer Science,75000,USD,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,10 - Highly Satisfied
Singapore,Male,25,Employed full-time,Telecommunications,Bachelor's degree,Mathematics or statistics,54000,SGD,Data Analyst,Poorly,Python,No,26-50% of projects,7
United States,Male,38,Employed full-time,Insurance,Bachelor's degree,Computer Science,74000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,7
South Africa,Male,36,Employed full-time,Technology,Master's degree,Mathematics or statistics,250000,USD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,8
United States,Male,30,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,62500,USD,Data Analyst,Fine,Python,No,Less than 10% of projects,8
United States,Male,37,Employed full-time,Non-profit,Bachelor's degree,A humanities discipline,120000,USD,Data Analyst,Fine,SQL,Sort of (Explain more),100% of projects,10 - Highly Satisfied
Brazil,Male,27,Employed full-time,Technology,Master's degree,Computer Science,80000,BRL,Computer Scientist,Fine,Python,Yes,26-50% of projects,8
United States,Male,34,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),400000,USD,Machine Learning Engineer,Poorly,Python,Sort of (Explain more),100% of projects,8
United States,Male,43,Employed full-time,Academic,Doctoral degree,Other,150000,USD,Other,Perfectly,Scala,No,76-99% of projects,8
India,Male,34,Employed full-time,Technology,Master's degree,Computer Science,1500000,INR,Software Developer/Software Engineer,Fine,R,Yes,76-99% of projects,7
Mexico,Male,42,Employed part-time,Academic,Master's degree,Electrical Engineering,250000,MXN,Researcher,Fine,R,Yes,51-75% of projects,8
United States,Male,52,Employed full-time,Mix of fields,Master's degree,Physics,150000,USD,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,9
Nigeria,Female,43,Employed full-time,Academic,Doctoral degree,Computer Science,150000,NGN,Other,Perfectly,Python,Yes,10-25% of projects,6
Germany,Male,31,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),90000,CHF,Engineer,Perfectly,Python,No,10-25% of projects,7
Colombia,Male,42,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),50000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),51-75% of projects,8
India,Male,30,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Computer Science,400000,INR,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,8
India,Male,21,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,0,INR,Programmer,Fine,R,No,None,5
India,Male,48,Employed full-time,Technology,Master's degree,Electrical Engineering,150000,USD,Machine Learning Engineer,Poorly,Python,Yes,10-25% of projects,1 - Highly Dissatisfied
Ireland,Female,29,Employed full-time,Academic,Master's degree,Computer Science,18000,EUR,Researcher,Fine,Python,No,10-25% of projects,5
Poland,Male,32,"Independent contractor, freelancer, or self-employed",Other,Master's degree,A humanities discipline,120000,PLN,Machine Learning Engineer,Fine,Haskell,Yes,Less than 10% of projects,10 - Highly Satisfied
France,Male,43,Employed full-time,Telecommunications,Doctoral degree,Computer Science,40000,EUR,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,7
Ukraine,Male,35,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,84000,UAH,Statistician,Fine,R,Yes,Less than 10% of projects,8
Brazil,Male,33,Employed part-time,Government,Master's degree,Computer Science,57600,BRL,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8
Italy,Male,26,Employed full-time,Internet-based,Master's degree,Computer Science,36000,EUR,Machine Learning Engineer,Poorly,Other,Yes,Less than 10% of projects,5
Brazil,Male,22,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Management information systems,39000,BRL,Business Analyst,Poorly,SQL,No,76-99% of projects,3
India,Male,27,Employed part-time,Pharmaceutical,Bachelor's degree,Computer Science,300000,INR,Programmer,Poorly,Python,Yes,10-25% of projects,3
Italy,Male,42,Employed full-time,Technology,Master's degree,Computer Science,38000,EUR,Software Developer/Software Engineer,Poorly,R,Sort of (Explain more),100% of projects,5
India,Male,29,Employed full-time,Internet-based,Master's degree,Electrical Engineering,3000000,INR,Data Analyst,Fine,R,Sort of (Explain more),51-75% of projects,7
Brazil,Male,36,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,140000,BRL,Data Analyst,Poorly,R,Yes,100% of projects,7
Turkey,Male,27,Employed full-time,Technology,Bachelor's degree,Computer Science,54000,TRY,Scientist/Researcher,Poorly,Python,No,76-99% of projects,9
United States,Male,25,Employed full-time,Academic,Bachelor's degree,Biology,30000,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,6
India,Male,24,Employed full-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),315000,INR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9
Other,Male,35,Employed full-time,Technology,Doctoral degree,Computer Science,80000,USD,Computer Scientist,Fine,Python,Yes,76-99% of projects,9
France,Male,37,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Computer Science,50000,EUR,Software Developer/Software Engineer,Poorly,Python,Yes,100% of projects,1 - Highly Dissatisfied
United States,Male,26,Employed full-time,Other,Master's degree,Computer Science,60000,USD,Data Analyst,Fine,R,No,51-75% of projects,5
Hong Kong,Female,24,Employed part-time,Mix of fields,Master's degree,Physics,144000,HKD,Data Analyst,Fine,Python,Yes,51-75% of projects,5
France,Male,56,Employed full-time,Internet-based,Master's degree,Biology,95000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,76-99% of projects,8
United States,Female,47,Employed full-time,Other,Master's degree,Biology,72000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,4
Canada,Male,28,Employed full-time,Academic,Master's degree,Engineering (non-computer focused),35000,CAD,Scientist/Researcher,Perfectly,R,Yes,76-99% of projects,6
Italy,Male,28,Employed full-time,Academic,Master's degree,Biology,13000,EUR,Other,Fine,R,Sort of (Explain more),10-25% of projects,8
United States,Male,31,Employed full-time,Technology,Master's degree,Computer Science,150000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,51-75% of projects,1 - Highly Dissatisfied
People 's Republic of China,Male,22,"Independent contractor, freelancer, or self-employed",Retail,Bachelor's degree,Computer Science,20000,CNY,Computer Scientist,Perfectly,Python,Yes,76-99% of projects,2
Canada,Male,64,Employed full-time,Academic,Doctoral degree,A social science,90000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied
Malaysia,Male,24,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,Computer Science,52000,MYR,DBA/Database Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,5
Ireland,Male,37,Employed full-time,Academic,Doctoral degree,Other,22000,EUR,Scientist/Researcher,Fine,Python,No,76-99% of projects,3
United States,Male,49,Employed full-time,Technology,Bachelor's degree,Management information systems,112000,USD,DBA/Database Engineer,Perfectly,R,Sort of (Explain more),100% of projects,7
People 's Republic of China,Male,25,Employed full-time,Internet-based,Bachelor's degree,Computer Science,200000,CNY,Software Developer/Software Engineer,Fine,Java,No,10-25% of projects,7
Brazil,Male,39,"Independent contractor, freelancer, or self-employed",Financial,Bachelor's degree,Electrical Engineering,30000,USD,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,8
Turkey,Female,32,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Mathematics or statistics,60000,TRY,Software Developer/Software Engineer,Poorly,Python,No,10-25% of projects,1 - Highly Dissatisfied
Other,Male,33,Employed full-time,Academic,Doctoral degree,Other,720000,RSD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,6
People 's Republic of China,Female,45,Employed full-time,Non-profit,Doctoral degree,Physics,1200,USD,Researcher,Perfectly,Python,No,100% of projects,5
Brazil,Male,27,Employed full-time,Government,Master's degree,Engineering (non-computer focused),20000,BRL,Scientist/Researcher,Fine,Matlab,Sort of (Explain more),76-99% of projects,10 - Highly Satisfied
Australia,Male,27,Employed full-time,Retail,Master's degree,Other,80000,AUD,Data Analyst,Fine,Python,Yes,100% of projects,5
India,Male,25,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),550000,INR,Software Developer/Software Engineer,Fine,Python,No,Less than 10% of projects,1 - Highly Dissatisfied
United States,Female,29,Employed full-time,Other,Master's degree,Physics,28000,USD,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,8
United States,Male,28,Employed full-time,Technology,Master's degree,Physics,130000,USD,Business Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,8
Indonesia,Male,24,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,68000000,IDR,Data Analyst,Fine,Python,Yes,51-75% of projects,5
United States,Male,32,Employed full-time,Academic,Master's degree,Biology,30000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,4
People 's Republic of China,Male,35,Employed full-time,Manufacturing,Bachelor's degree,Other,150000,CNY,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,3
Other,Male,50,"Independent contractor, freelancer, or self-employed",Financial,Some college/university study without earning a bachelor's degree,Physics,36000,USD,Scientist/Researcher,Fine,R,Yes,100% of projects,8
People 's Republic of China,Male,23,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),25000,CNY,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,4
United States,Female,62,Employed full-time,Academic,Doctoral degree,Other,185000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),100% of projects,9
People 's Republic of China,Male,27,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,12000,ALL,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,5
Taiwan,Male,26,Employed full-time,Technology,Master's degree,Computer Science,700000,TWD,Engineer,Fine,Python,Yes,10-25% of projects,8
Canada,Male,28,Employed full-time,Financial,Bachelor's degree,"Information technology, networking, or system administration",75000,CAD,Programmer,Fine,Python,No,51-75% of projects,1 - Highly Dissatisfied
People 's Republic of China,Male,27,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,170000,CNY,Engineer,Fine,Python,No,10-25% of projects,8
Singapore,Male,47,Employed full-time,Academic,Master's degree,Computer Science,120000,SGD,Other,Fine,Python,No,Less than 10% of projects,8
United States,Female,34,Employed full-time,Other,Doctoral degree,Electrical Engineering,93000,USD,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,1 - Highly Dissatisfied
India,Male,50,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Mathematics or statistics,1500000,INR,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8
Chile,Male,26,"Independent contractor, freelancer, or self-employed",Academic,Bachelor's degree,Computer Science,170000,CLP,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,5
United States,Female,33,Employed full-time,Government,Master's degree,Other,51000,USD,Data Analyst,Fine,Python,No,26-50% of projects,9
United States,Male,52,Employed full-time,Academic,Master's degree,Computer Science,55000,USD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,7
Japan,Male,46,Employed full-time,Academic,Doctoral degree,Psychology,7800000,JPY,Scientist/Researcher,Fine,Python,No,100% of projects,I prefer not to share
India,"Non-binary, genderqueer, or gender non-conforming",22,Employed full-time,Other,Bachelor's degree,Electrical Engineering,700000,INR,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,7
Singapore,Male,34,Employed full-time,Other,Bachelor's degree,Computer Science,96000,SGD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,7
Vietnam,Female,26,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Other,30000,USD,Researcher,Fine,R,Sort of (Explain more),76-99% of projects,7
India,Male,27,Employed full-time,Financial,Master's degree,A social science,2100000,INR,Predictive Modeler,Fine,SAS,Sort of (Explain more),26-50% of projects,6
South Korea,Male,26,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,7200000,KRW,Researcher,Fine,Python,No,26-50% of projects,9
Singapore,Male,26,Employed full-time,Government,Bachelor's degree,A social science,0,AUD,Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,8
Singapore,Male,33,Employed full-time,Financial,Master's degree,Engineering (non-computer focused),160000,SGD,Other,Poorly,Python,Sort of (Explain more),26-50% of projects,1 - Highly Dissatisfied
Taiwan,Male,30,Employed full-time,Technology,Master's degree,Electrical Engineering,1300000,TWD,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,7
India,Male,32,Employed full-time,Technology,Master's degree,Computer Science,110000,INR,DBA/Database Engineer,Fine,Python,Yes,10-25% of projects,1 - Highly Dissatisfied
Japan,Male,27,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),4500000,JPY,Researcher,Fine,Python,Yes,Less than 10% of projects,3
Taiwan,Male,48,Employed full-time,Academic,Bachelor's degree,"Information technology, networking, or system administration",30000,USD,Data Analyst,Poorly,Python,Yes,Less than 10% of projects,3
India,Male,36,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Mathematics or statistics,600000,INR,Machine Learning Engineer,Fine,R,Yes,10-25% of projects,5
United States,Male,27,Employed full-time,Internet-based,Bachelor's degree,Other,115000,USD,Software Developer/Software Engineer,Fine,Python,No,None,3
United States,Male,39,Employed full-time,Retail,Master's degree,Management information systems,115000,USD,Data Analyst,Poorly,Python,No,51-75% of projects,7
Singapore,Male,35,Employed full-time,Financial,Bachelor's degree,Electrical Engineering,120000,SGD,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,7
Pakistan,Male,28,Employed full-time,Telecommunications,Bachelor's degree,Electrical Engineering,6000,USD,Data Analyst,Perfectly,Python,Yes,10-25% of projects,7
India,Male,24,Employed full-time,Pharmaceutical,Bachelor's degree,Engineering (non-computer focused),900000,INR,Business Analyst,Fine,Python,No,10-25% of projects,7
Japan,Male,25,Employed full-time,Other,Master's degree,Computer Science,4500000,JPY,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,4
Pakistan,Male,24,Employed full-time,Technology,Bachelor's degree,Computer Science,720000,PKR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9
India,Male,26,Employed full-time,Other,Bachelor's degree,Computer Science,655000,INR,Other,Fine,Python,No,76-99% of projects,4
India,Male,28,Employed full-time,Technology,Master's degree,Electrical Engineering,75000,INR,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,8
United States,Male,33,Employed full-time,Telecommunications,Master's degree,Computer Science,93000,USD,Data Analyst,Fine,Python,Yes,100% of projects,3
United States,Male,38,Employed full-time,Internet-based,Master's degree,Computer Science,155000,USD,Software Developer/Software Engineer,Perfectly,Python,No,26-50% of projects,8
United States,Female,45,Employed part-time,CRM/Marketing,Master's degree,Electrical Engineering,150000,USD,Engineer,Fine,Python,Yes,26-50% of projects,8
United States,Male,21,Employed part-time,Technology,Bachelor's degree,Computer Science,50000,INR,Data Analyst,Fine,Python,No,Less than 10% of projects,7
United States,Male,30,Employed full-time,Government,Master's degree,Computer Science,130000,SGD,Computer Scientist,Perfectly,Python,Yes,10-25% of projects,3
United States,Male,33,Employed full-time,Insurance,Some college/university study without earning a bachelor's degree,Computer Science,140000,USD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,9
Other,Male,28,Employed full-time,Telecommunications,Bachelor's degree,Other,590000,BDT,Engineer,Perfectly,C/C++/C#,Sort of (Explain more),51-75% of projects,7
India,Male,47,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,"Information technology, networking, or system administration",150000,USD,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,8
Australia,Male,30,Employed full-time,Internet-based,Master's degree,Computer Science,155000,AUD,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,7
Brazil,Female,22,Employed full-time,Other,Some college/university study without earning a bachelor's degree,Mathematics or statistics,25000,BRL,Statistician,Perfectly,R,Yes,100% of projects,10 - Highly Satisfied
Other,Male,46,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,"Information technology, networking, or system administration",100000,EUR,DBA/Database Engineer,Perfectly,R,Yes,26-50% of projects,8
United States,Male,31,"Independent contractor, freelancer, or self-employed",Academic,Some college/university study without earning a bachelor's degree,Mathematics or statistics,125000,USD,Scientist/Researcher,Perfectly,R,Yes,None,9
India,Male,21,Employed full-time,Technology,Bachelor's degree,Computer Science,500000,INR,Data Analyst,Poorly,Python,Yes,10-25% of projects,5
Hong Kong,Male,22,Employed full-time,Mix of fields,Bachelor's degree,Other,300000,HKD,Other,Poorly,Python,No,Less than 10% of projects,3
United States,Female,29,Employed full-time,Academic,Doctoral degree,Physics,24000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),76-99% of projects,6
India,Male,27,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,Computer Science,25000,INR,Researcher,Fine,R,Yes,76-99% of projects,I prefer not to share
India,Male,25,Employed full-time,Other,Master's degree,Electrical Engineering,20500,INR,Data Analyst,Perfectly,R,Yes,76-99% of projects,10 - Highly Satisfied
United States,Female,28,Employed full-time,Government,Master's degree,Mathematics or statistics,85000,USD,Data Analyst,Fine,Python,Yes,76-99% of projects,7
United States,Female,39,Employed full-time,Technology,Master's degree,Computer Science,300000,USD,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,3
India,Female,37,Employed full-time,Insurance,Master's degree,Electrical Engineering,700000,INR,Engineer,Fine,Scala,Yes,26-50% of projects,10 - Highly Satisfied
United States,Female,25,Employed full-time,Pharmaceutical,Bachelor's degree,Electrical Engineering,130000,USD,Software Developer/Software Engineer,Fine,Python,No,Less than 10% of projects,10 - Highly Satisfied
United States,Male,29,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,18000,USD,Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,4
Japan,Male,35,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Electrical Engineering,4500000,JPY,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,I prefer not to share
Belgium,Male,51,Employed full-time,Financial,Master's degree,Computer Science,7000,EUR,Other,Fine,Python,No,100% of projects,3
India,Male,24,Employed full-time,Other,Bachelor's degree,Other,30000,INR,Other,Fine,R,No,Less than 10% of projects,3
India,Male,28,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,1000000,INR,Data Analyst,Perfectly,Python,Sort of (Explain more),10-25% of projects,7
India,Male,31,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),50000,INR,DBA/Database Engineer,Fine,Python,No,26-50% of projects,1 - Highly Dissatisfied
India,Female,23,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",15000,INR,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8
Chile,Male,30,Employed full-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),15000000,CLP,Data Analyst,Fine,R,Yes,26-50% of projects,7
India,Male,26,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,"Information technology, networking, or system administration",140000,INR,Software Developer/Software Engineer,Fine,Java,No,10-25% of projects,5
United States,Male,30,Employed full-time,Internet-based,Master's degree,"Information technology, networking, or system administration",70000,USD,Data Miner,Fine,Python,No,76-99% of projects,1 - Highly Dissatisfied
India,Male,28,Employed full-time,Academic,Master's degree,Computer Science,7600000,INR,Researcher,Fine,Python,No,Less than 10% of projects,7
Vietnam,Male,34,Employed full-time,Financial,Bachelor's degree,Computer Science,60000,USD,Computer Scientist,Fine,Python,Yes,51-75% of projects,8
Australia,Female,34,Employed full-time,Technology,Doctoral degree,A humanities discipline,80000,AUD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,9
India,Male,31,Employed full-time,Academic,Master's degree,Computer Science,40000,INR,Data Miner,Perfectly,R,No,Less than 10% of projects,5
India,Male,27,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,"Information technology, networking, or system administration",800000,INR,Other,Perfectly,R,Yes,51-75% of projects,10 - Highly Satisfied
India,Male,27,Employed full-time,Retail,Bachelor's degree,Computer Science,1272000,INR,Software Developer/Software Engineer,Fine,Java,No,10-25% of projects,8
India,Male,25,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,355000,INR,Data Analyst,Perfectly,R,Sort of (Explain more),Less than 10% of projects,5
Taiwan,Male,28,Employed full-time,Manufacturing,Master's degree,Computer Science,500000,TWD,Software Developer/Software Engineer,Fine,Python,No,76-99% of projects,3
India,Male,55,Employed full-time,Academic,Doctoral degree,Computer Science,800000,INR,Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,8
Australia,Male,28,Employed full-time,Technology,Bachelor's degree,Computer Science,130000,AUD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,5
Australia,Male,26,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,65000,AUD,Programmer,Fine,Python,Sort of (Explain more),76-99% of projects,6
Kenya,Male,30,Employed full-time,Non-profit,Bachelor's degree,Other,120000,KES,Other,Perfectly,R,Sort of (Explain more),51-75% of projects,7
Other,Male,26,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",100000,ETB,Data Miner,Perfectly,Python,Yes,10-25% of projects,8
India,Female,27,Employed full-time,Financial,Master's degree,"Information technology, networking, or system administration",250000,IRR,Other,Fine,SAS,No,None,5
United Kingdom,Male,48,Employed full-time,Other,Doctoral degree,Physics,150000,GBP,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,4
Singapore,Male,56,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),190000,SGD,Other,Fine,Python,No,Less than 10% of projects,7
Japan,Male,37,Employed full-time,Academic,Doctoral degree,Physics,65000,USD,Researcher,Poorly,Python,Yes,10-25% of projects,6
Israel,Male,34,Employed full-time,Internet-based,Master's degree,Computer Science,480000,ILS,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,8
Other,Male,31,Employed full-time,Non-profit,Master's degree,Computer Science,2100000,LKR,Researcher,Fine,R,Sort of (Explain more),100% of projects,8
Australia,Male,0,Employed full-time,Government,Master's degree,Mathematics or statistics,78000,AUD,Predictive Modeler,Poorly,R,Sort of (Explain more),100% of projects,1 - Highly Dissatisfied
Israel,Male,26,Employed full-time,Military/Security,Master's degree,Electrical Engineering,110000,ILS,Machine Learning Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,8
India,Male,24,"Independent contractor, freelancer, or self-employed",Academic,Bachelor's degree,Engineering (non-computer focused),900000,INR,Machine Learning Engineer,Fine,Python,Yes,51-75% of projects,10 - Highly Satisfied
Japan,Male,43,Employed full-time,Academic,Doctoral degree,Electrical Engineering,10000000,JPY,Scientist/Researcher,Fine,Python,No,10-25% of projects,7
Italy,Male,55,Employed full-time,Academic,Master's degree,A social science,250000,EUR,Data Analyst,Poorly,R,Yes,26-50% of projects,9
India,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,750000,INR,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8
India,Male,23,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,500000,INR,Business Analyst,Poorly,R,Sort of (Explain more),10-25% of projects,7
Australia,Male,29,Employed full-time,Other,Bachelor's degree,Computer Science,150000,AUD,Business Analyst,Fine,R,Sort of (Explain more),51-75% of projects,8
India,Male,27,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),654000,INR,Software Developer/Software Engineer,Perfectly,Python,Yes,Less than 10% of projects,4
Turkey,Male,39,Employed full-time,Academic,Doctoral degree,Computer Science,25000,USD,Computer Scientist,Fine,Matlab,Yes,76-99% of projects,8
India,Male,34,Employed full-time,Other,Master's degree,Computer Science,1000000,INR,Data Analyst,Fine,Python,No,26-50% of projects,6
Germany,Male,31,Employed part-time,Academic,Master's degree,Other,35000,EUR,Researcher,Fine,Python,Sort of (Explain more),100% of projects,8
United States,Male,30,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,Psychology,95000,USD,Predictive Modeler,Perfectly,Python,Yes,51-75% of projects,7
United Kingdom,Female,43,Employed full-time,Technology,Master's degree,Electrical Engineering,50000,GBP,Machine Learning Engineer,Poorly,Python,Yes,51-75% of projects,5
Other,Male,33,"Independent contractor, freelancer, or self-employed",Military/Security,Bachelor's degree,"Information technology, networking, or system administration",36000,EUR,Software Developer/Software Engineer,Fine,C/C++/C#,No,Less than 10% of projects,7
India,Male,30,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,2500000,INR,Engineer,Fine,Python,No,100% of projects,8
Greece,Male,41,"Independent contractor, freelancer, or self-employed",Technology,Doctoral degree,"Information technology, networking, or system administration",45000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,7
Germany,Female,26,Employed full-time,Technology,Master's degree,Management information systems,65000,EUR,Predictive Modeler,Poorly,Python,Yes,Less than 10% of projects,9
India,Female,23,Employed full-time,Technology,Bachelor's degree,Computer Science,8800,USD,Machine Learning Engineer,Fine,Python,Yes,100% of projects,7
Pakistan,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,700000,PKR,Software Developer/Software Engineer,Perfectly,R,Sort of (Explain more),Less than 10% of projects,6
Russia,Male,37,Employed full-time,Mix of fields,Master's degree,Computer Science,3000000,RUB,Other,Fine,Python,Sort of (Explain more),76-99% of projects,6
Japan,Male,28,Employed full-time,Internet-based,Master's degree,A social science,3520000,JPY,Data Analyst,Fine,Python,Yes,51-75% of projects,5
Norway,Male,46,Employed full-time,Pharmaceutical,Master's degree,"Information technology, networking, or system administration",800000,NOK,Programmer,Fine,Python,No,Less than 10% of projects,7
Malaysia,Male,26,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,36000,MYR,Data Analyst,Fine,Python,Sort of (Explain more),100% of projects,I prefer not to share
India,Male,32,Employed full-time,Pharmaceutical,Bachelor's degree,Electrical Engineering,1600000,INR,Engineer,Fine,Python,No,10-25% of projects,5
Spain,Male,45,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,30000,EUR,Scientist/Researcher,Fine,R,No,10-25% of projects,8
United States,Male,34,Employed full-time,Military/Security,Doctoral degree,Engineering (non-computer focused),90000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,10-25% of projects,8
Russia,Male,23,Employed full-time,Pharmaceutical,Bachelor's degree,Biology,1320000,RUB,Data Analyst,Fine,Python,Yes,100% of projects,9
France,Male,32,Employed full-time,Academic,Doctoral degree,Physics,35000,GBP,Scientist/Researcher,Perfectly,Python,Yes,10-25% of projects,6
People 's Republic of China,Male,27,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,43000,CNY,Scientist/Researcher,Poorly,Python,No,76-99% of projects,5
Finland,Male,46,Employed full-time,Retail,Master's degree,Other,70000,EUR,Other,Fine,R,Sort of (Explain more),10-25% of projects,7
